#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
1081;London;London;Ich fliege morgen nach London.;I’m flying to London tomorrow.;noun;لندن;n;;London;;;
1082;enttäuscht;disappointed;Ich bin sehr enttäuscht.;I’m very disappointed.;adjective;مُحبط / متضايق / خاب أمله;;;disappointed;;;
1083;wechseln;to change / switch;Wir müssen den Platz wechseln.;We need to change places.;verb;يغيّر / يبدّل;;;change;;;
1084;fernsehen;to watch TV;Ich will heute fernsehen.;I want to watch TV today.;verb;يتفرّج على التلفزيون;;;watch TV;;;
1085;Deal;deal;Wir haben einen Deal.;We have a deal.;noun;صفقة / اتفاق;m;;deal;;;
1086;statt;instead of;Wir gehen statt dessen essen.;We’re going out to eat instead.;prep;بدل;;;instead;;;
1087;Taxi;taxi;Das Taxi kommt gleich.;The taxi is coming soon.;noun;تاكسي;n;;taxi;;;
1088;Cop;cop (slang);Der Cop hat ihn angehalten.;The cop stopped him.;noun;ظابط / شرطي;m;;cop;;;
1089;entführt;kidnapped;Das Kind wurde gerade entführt.;The child was kidnapped just now.;verb;مخطوف;;;kidnapped;;;
1090;worüber;about what;Worüber redest du?;What are you talking about?;adverb;عن إيه / على إيه;;;What;;;
1091;davor;before that;Ich war schon davor dort.;I was there before that.;adverb;قبل كده / قبل ده;;;before that;;;
1092;wochenende;weekend;Am Wochenende fahre ich weg.;I’m leaving on the weekend.;noun;ويك إند / آخر الأسبوع;n;;weekend;;;
1093;englisch;English;Ich spreche englisch.;I speak English.;adjective;إنجليزي;;;English;;;
1094;entwickelt;developed;Das Programm wurde entwickelt.;The program was developed.;adjective;متطوّر / اتطوّر / طوّر;;;developed;;;
1095;nachts;at night;Ich esse nachts nie.;I never eat at night.;adverb;بالليل;;;at night;;;
1096;Meter;meter;Das Haus ist echt 20 Meter hoch.;The house is really 20 meters tall.;noun;متر;m;;meters;;;
1098;fett;fat / greasy;Das Essen ist zu fett.;The food is too greasy.;adjective;دهون / دُهني / تخين;;;greasy;;;
1099;Farbe;colour;Welche Farbe magst du?;What colour do you like?;noun;لون;f;;colour;;;
1100;waschen;to wash;Ich muss meine Kleidung waschen.;I need to wash my clothes.;verb;يغسل;;;wash;;;
1101;Schwert;sword;Er zieht sein Schwert.;He draws his sword.;noun;سيف;n;;sword;;;
1102;berührt;touched;Das hat mich sehr berührt.;That touched me deeply.;verb;لمس / اتأثّر;;;touched;;;
1103;schweigen;to be silent;Bitte schweig einen Moment.;Please be silent for a moment.;verb;يسكت;;schweig;be silent;;;
1104;Zähne;teeth;Ich putze meine Zähne.;I brush my teeth.;noun;سنان;m;;teeth;;;
1105;reparieren;to repair;Kannst du mein Handy reparieren?;Can you repair my phone?;verb;يصلّح;;;repair;;;
1106;fein;fine / delicate;Das ist ein feines Kleid.;That is a fine dress.;adjective;ناعم / كويس / تمام;;;fine;;;
1107;kollegen;colleagues;Meine Kollegen sind nett.;My colleagues are nice.;noun;زمايل;m;;colleagues;;;
1108;maul;"mouth (animal) / rude ""shut up""";Halt dein Maul!;Shut your mouth! (rude);noun;بُق (بشكل وقح) / بقّ;n;;mouth;;;
1109;scharf;sharp / spicy;Das Messer ist scharf.;The knife is sharp.;adjective;حامي / حاد / جامد (على حد);;;sharp;;;
1110;amerikanische;American (thing);Ich liebe amerikanische Filme.;I love American movies.;adjective;أمريكيّة;;;American;;;
1111;Gang;corridor / gang;Wir treffen uns im Gang.;We meet in the corridor.;noun;عصابة;m;;corridor;;;
1112;komplett;complete/completely;Das Projekt ist komplett fertig.;The project is completely finished.;adjective;كامل / خالص;;;completely;;;
1113;Fleisch;meat;Ich esse kein Fleisch.;I don’t eat meat.;noun;لحمة;n;;meat;;;
1115;Energie;energy;Ich habe heute keine Energie.;I have no energy today.;noun;طاقة;f;;energy;;;
1116;Kilometer;kilometre;Es sind fünf Kilometer bis zur Stadt.;It’s five kilometres to the city.;noun;كيلومتر;m;;kilometres;;;
1117;sorry;sorry (loanword);Sorry, das war keine Absicht.;Sorry, it wasn’t on purpose.;interjection;آسف / معلش;;;Sorry;;;
1118;entlang;along;Wir gehen den Fluss entlang.;We walk along the river.;prep;على طول / بمحاذاة;;;along;;;
1119;ecke;corner;Ich warte an der Ecke.;I’m waiting at the corner.;noun;ناصية / ركن;f;;corner;;;
1120;einverstanden;agreed;Ich bin damit einverstanden.;I agree with that.;adjective;موافق;;;agree;;;
1121;zufällig;by chance / random;Wir haben uns zufällig getroffen.;We met by accident.;adverb;بالصدفة;;;by accident;;;
1122;gesamte;entire / whole;Ich nehme lieber die gesamte Option.;I'd rather take the entire option.;adjective;كلّه / بالكامل;;;entire;;;
1123;vergehen;to pass (time);Die Zeit vergeht schnell.;Time passes quickly.;verb;يعدّي / يمضي;;vergeht;passes;;;
1124;Erfahrung;experience;Ich habe viel Erfahrung darin.;I have a lot of experience in that.;noun;خبرة / تجربة;f;;experience;;;
1125;irgendjemand;somebody / anyone;Irgendjemand hat geklopft.;Somebody knocked.;pronoun;أي حد / حدّ ما;;;Somebody;;;
1126;Gentlemen;gentlemen;Guten Abend, Gentlemen.;Good evening, gentlemen.;noun;يا حضرات / يا سادة;m;;gentlemen;;;
1127;zustand;condition;Der Zustand des Autos ist echt schlecht.;The condition of the car is really bad.;noun;حالة;m;;condition;;;
1128;Neuigkeiten;news;Hast du Neuigkeiten für mich?;Do you have news for me?;noun;أخبار / جديد;f;;news;;;
1129;beschissen;shitty (slang);Das Wetter ist total beschissen.;The weather is totally shitty.;adjective;وحش قوي / خرا (شتيمة);;;shitty;;;
1130;hexe;witch;Die Hexe lebt im Wald.;The witch lives in the forest.;noun;ساحرة;f;;witch;;;
1132;Sergeant;sergeant;Der Sergeant gibt den Befehl.;The sergeant gives the order.;noun;رقيب;m;;sergeant;;;
1133;Club;club;Wir treffen uns im Club.;We will meet at the club.;noun;نادي / كلوب;m;;club;;;
1134;umgehen;to handle / avoid;Ich kann gut mit Stress umgehen.;I can handle stress well.;verb;يتعامل مع / يلفّ / يتفادى;;;handle;;;
1135;anhalten;to stop (moving);Bitte anhalten!;Please stop!;verb;يوقّف / يقف;;;stop;;;
1136;betrifft;concerns / affects;Das betrifft uns alle.;That concerns all of us.;verb;يخصّ / يتعلق بـ;;;concerns;;;
1137;aha;aha;Aha, jetzt verstehe ich.;Aha, now I understand.;interjection;آها / أها;;;Aha;;;
1138;ruiniert;ruined;Du hast alles ruiniert.;You ruined everything.;adjective;بوّظ / دمّر;;;ruined;;;
1139;schließlich;finally / eventually;Schließlich sind wir angekommen.;We finally arrived.;adverb;في الآخر / في النهاية;;;finally;;;
1140;Gelegenheit;opportunity;Das ist echt deine Gelegenheit.;This is really your opportunity.;noun;فرصة / مناسبة;f;;opportunity;;;
1141;Risiko;risk;Das ist echt ein großes Risiko.;That is really a big risk.;noun;مخاطرة;n;;risk;;;
1142;schlau;clever;Du bist wirklich schlau.;You’re really clever.;adjective;ذكي / شاطر;;;clever;;;
1144;merkwürdig;suspicious / strange;Das ist eine merkwürdige Geschichte.;That is a strange story.;adjective;غريب;;;strange;;;
1145;vernichten;to destroy;Wir müssen die Beweise vernichten.;We must destroy the evidence.;verb;يفني / يدمّر;;;destroy;;;
1146;Flug;flight;Mein Flug geht um 7 Uhr.;My flight leaves at 7.;noun;رحلة طيران / طيران;m;;flight;;;
1147;verarschen;to mess with / trick;Willst du mich verarschen?;Are you messing with me?;verb;يستعبط / يضحك عليه / يستهبل (شتيمة);;;messing with;;;
1148;überlassen;to leave to / hand over;Ich überlasse dir die Entscheidung.;I leave the decision to you.;verb;يسيبه له / يسلّمه;;überlasse;leave;;;
1149;Fluss;river;Der Fluss ist echt breit.;The river is really wide.;noun;نهر;m;;river;;;
1150;übersetzt;translated;Der Text wurde gerade ins Deutsche übersetzt.;The text was translated into German just now.;verb;مترجم / يترجم;;;translated;;;
1151;riskieren;to risk;Ich will mein Leben nicht riskieren.;I don’t want to risk my life.;verb;يخاطر;;;risk;;;
1153;Engel;angel;Sie sieht aus wie ein Engel.;She looks like an angel.;noun;ملاك;m;;angel;;;
1154;wahnsinnig;insane / extremely;Das ist wahnsinnig gefährlich.;That is insanely dangerous.;adjective;مجنون / جامد قوي (عامية);;;insanely;;;
1155;beigebracht;taught;Mein Vater hat mir das Fahren beigebracht.;My father taught me how to drive.;verb;علّمه / علّمته;;;taught;;;
1156;Schätzchen;darling / sweetheart;Komm her, Schätzchen.;Come here, sweetheart.;noun;يا حبيبي/حبيبتي / يا قمر (دلّع);n;;sweetheart;;;
1157;Fräulein;miss / young lady;Guten Tag, Fräulein.;Good day, miss.;noun;آنسة;n;;miss;;;
1158;besprechen;to discuss / talk over something;Lass uns das später besprechen.;Let’s discuss this later.;verb;يناقش;;;discuss;;;
1159;blind;blind;Er ist echt seit Geburt blind.;He really has been blind since birth.;adjective;أعمى;;;blind;;;
1160;nachmittag;afternoon;Am Nachmittag habe ich Zeit.;I have time in the afternoon.;noun;بعد الضهر;m;;afternoon;;;
1161;Dach;roof;Das Dach ist echt undicht.;The roof is really leaking.;noun;سقف;n;;roof;;;
1162;form;form / shape;Die Form ist echt ungewöhnlich.;The shape is really unusual.;noun;شكل;f;;shape;;;
1163;liefern;to deliver;Wir liefern Ihre Bestellung morgen.;We deliver your order tomorrow.;verb;يوصل / يسلّم;;;deliver;;;
1164;Haufen;pile / bunch;Da liegt ein Haufen Papier.;There’s a pile of paper.;noun;كومة / كتير;m;;pile;;;
1165;Mut;courage;Er hat viel Mut gezeigt.;He showed a lot of courage.;noun;شجاعة;m;;courage;;;
1166;unterstützen;to support;Ich werde dich unterstützen.;I will support you.;verb;يساعد / يدعم;;;support;;;
1167;Lehrer;teacher;Der Lehrer erklärt es gut.;The teacher explains it well.;noun;مدرّس;m;;teacher;;;
1168;Szene;scene;Die Szene im Film war echt spannend.;The scene in the movie was really exciting.;noun;مشهد;f;;scene;;;
1169;daher;therefore;Ich war krank, daher blieb ich zuhause.;I was sick, therefore I stayed home.;adverb;عشان كده / لذلك;;;therefore;;;
1170;offenbar;Obviously / evidently;Offenbar wusste er nichts davon.;Apparently he knew nothing about it.;adverb;واضح إن / يبدو;;;Apparently;;;
1171;französisch;French;Ich lerne französisch.;I’m learning French.;adjective;فرنساوي;;;French;;;
1172;nee;no (informal);Nee, das glaube ich nicht.;No, I don’t think so.;interjection;لأ;;;No;;;
1173;zulassen;to allow / permit;Ich kann das nicht zulassen.;I can’t allow that.;verb;يسمح;;;allow;;;
1174;vorwärts;forwards;Geh weiter vorwärts!;Keep moving forward!;adverb;لقدّام;;;forward;;;
1175;Oma;grandma;Meine Oma backt den besten Kuchen.;My grandma bakes the best cake.;noun;تيتا;f;;grandma;;;
1177;beantworten;to answer;Kannst du meine Frage beantworten?;Can you answer my question?;verb;يردّ / يجاوب;;;answer;;;
1178;Trick;trick;Das ist echt nur ein Trick.;That's really just a trick.;noun;حركة / خدعة;m;;trick;;;
1179;studiert;studied;Er hat Medizin studiert.;He studied medicine.;verb;درس / بيَدرس (جامعة);;;studied;;;
1180;berühmt;famous;Er ist echt ein berühmt­er Sänger.;He is really a famous singer.;adjective;مشهور;;;famous;;;
1181;Kurs;course;Ich besuche einen Deutschkurs.;I’m taking a German course.;noun;كورس / دورة;m;;course;;;
1182;hinaus;out / beyond;Geh bitte hinaus!;Please go out!;adverb;لبرا / برّه;;;out;;;
1183;albern;silly;Das ist eine alberne Idee.;That is a silly idea.;adjective;طفولي / سخيف;;;silly;;;
1186;freundlich;friendly;Er war sehr freundlich.;He was very friendly.;adjective;لطيف / محترم;;;friendly;;;
1187;Sommer;summer;Der Sommer ist echt heiß.;The summer is really hot.;noun;الصيف;m;;summer;;;
1188;Brust;chest / breast;Meine Brust tut weh.;My chest hurts.;noun;صدر;f;;chest;;;
1189;reihe;row / series;Wir sitzen in der ersten Reihe.;We’re sitting in the first row.;noun;صف;f;;row;;;
1190;Ausdruck;expression;Dieser Ausdruck ist schwer.;This expression is difficult.;noun;تعبير / كلمة;m;;expression;;;
1191;ertragen;to endure / bear;Ich kann das nicht mehr ertragen.;I can’t bear this anymore.;verb;يستحمل;;;bear;;;
1192;angeht;concerns / is about;Was dein Problem angeht…;As for your problem…;verb;يخصّ / يتعلق بـ;;;As for;;;
1193;einsam;lonely;Ich fühle mich manchmal einsam.;I feel lonely sometimes.;adjective;لوحده / وحيد;;;lonely;;;
1194;worum;what about;Worum geht es hier?;What is this about?;adverb;عن إيه بالظبط؟;;;What;;;
1195;kehren;to turn / sweep;Er kehrt den Boden.;He sweeps the floor.;verb;يرجع / يكنس (حسب السياق);;kehrt;sweeps;;;
1196;Mistkerl;bastard / jerk;Du Mistkerl!;You bastard!;noun;ابن وسخة / عرص (شتيمة قوية);m;;bastard;;;
1197;Einheit;unit;Die Einheit ist echt bereit.;The unit is really ready.;noun;وحدة;f;;unit;;;
1198;pfeift;whistles;Der Wind pfeift laut.;The wind is whistling loudly.;verb;بيصفّر;;;whistling;;;
1199;mächtig;powerful;Er ist echt ein mächtiger Mann.;He is really a powerful man.;adjective;قوي / نافذ;;;powerful;;;
1200;Meilen;miles;Es sind noch viele Meilen bis zum Ziel.;There are still many miles to the destination.;noun;أميال;f;;miles;;;
1201;abgeschlossen;finished / completed;Ich habe das Projekt abgeschlossen.;I have completed the project.;adjective;مقفول / خلّص / متخرّج;;;completed;;;
1202;Robert;Robert (name);Robert ist schon angekommen.;Robert has already arrived.;noun;روبرت;;;Robert;;;
1203;Zeitpunkt;point in time;Das ist nicht der richtige Zeitpunkt.;This is not the right moment.;noun;وقت / لحظة;m;;moment;;;
1204;braut;bride;Die Braut sieht wunderschön aus.;The bride looks beautiful.;noun;عروسة;f;;bride;;;
1205;langweilig;boring;Mir ist gerade langweilig.;I'm bored right now.;adjective;ممل;;;bored;;;
1206;verwandelt;transformed;Das Wasser wurde in Eis verwandelt.;The water was transformed into ice.;verb;حوّل / اتحوّل;;;transformed;;;
1207;stürzen;to fall / crash;Pass auf, du könntest stürzen.;Be careful, you might fall.;verb;يقع / ينهار;;;fall;;;
1208;weich;soft;Das Kissen ist sehr weich.;The pillow is very soft.;adjective;ناعم / طري;;;soft;;;
1209;schwul;gay;Er hat gesagt, dass er schwul ist.;He said that he is gay.;adjective;مثلي (شتيمة في العامية أحياناً);;;gay;;;
1210;hure;whore;Sie nannte ihn eine Hure.;She called him a whore.;noun;عاهرة (شتيمة);f;;whore;;;
1211;Lord;lord;Der Lord betrat den Saal.;The lord entered the hall.;noun;لورد / نبيل;m;;lord;;;
1212;schalten;to switch / turn on/off;Schalt bitte das Licht ein.;Please turn on the light.;verb;يشغّل / يبدّل;;Schalt;turn on;;;
1213;gestoßen;bumped / pushed;Ich bin gegen die Tür gestoßen.;I bumped into the door.;verb;خبط / زقّ;;;bumped;;;
1214;Lösung;solution;Wir brauchen eine Lösung für das Problem.;We need a solution to the problem.;noun;حل;f;;solution;;;
1215;verhindern;to prevent;Wir müssen das verhindern.;We have to prevent that.;verb;يمنع;;;prevent;;;
1216;Keller;basement;Der Keller ist echt dunkel.;The basement is really dark.;noun;بدروم / قبو;m;;basement;;;
1217;verantwortung;responsibility;Das ist echt deine Verantwortung.;That is really your responsibility.;noun;مسؤولية;f;;responsibility;;;
1218;Daten;data;Die Daten wurden gerade gespeichert.;The data was saved just now.;noun;بيانات;n;;data;;;
1219;Hinweis;hint / clue;Wir haben einen wichtigen Hinweis gefunden.;We found an important clue.;noun;دليل / ملاحظة;m;;clue;;;
1220;Walter;Walter (name);Walter ist heute nicht da.;Walter is not here today.;noun;والتر;;;Walter;;;
1221;Mami;mommy;Meine Mami holt mich ab.;My mom is picking me up.;noun;ماما;f;;mom;;;
1222;Thema;topic;Das ist nicht das Thema.;That’s not the topic.;noun;موضوع;n;;topic;;;
1223;sammeln;to collect;Er sammelt alte Münzen.;He collects old coins.;verb;يجمع;;sammelt;collects;;;
1224;Unterricht;class / lesson;Der Unterricht beginnt um acht.;The class starts at eight.;noun;حصة / درس;m;;class;;;
